Unnamed: 0,Name,Location,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,Price,Fuel_Type_Diesel,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual,Current_Age,Avg_Mileage_Per_Year,New_Column
38,Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000,First,11.74,2987.0,254.8,5.0,28.0,1,0,0,1,0,11,1.0672727272727274,42.22553402881272
39,Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,First,22.07,1199.0,73.9,5.0,5.0,1,0,0,0,1,11,2.0063636363636363,30.79980129160457
40,Maruti Alto LXi,Delhi,2008,90000,Second,19.7,796.0,46.3,5.0,1.25,0,0,1,0,1,16,1.23125,44.820717131474105
41,Tata Nano LX SE,Kochi,2014,19698,First,25.4,624.0,37.5,4.0,1.53,0,0,1,0,1,10,2.54,9.780536246276068
42,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,First,25.32,1198.0,107.35215130674001,6.0,5.58,1,0,0,0,1,7,3.617142857142857,10.923648983639067
43,Hyundai i20 Magna Optional 1.2,Kochi,2014,35487,First,18.5,1197.0,82.9,5.0,4.74,0,0,1,0,1,10,1.85,17.6201588877855
44,Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,First,14.62,1999.0,149.92,5.0,8.85,0,0,1,1,0,10,1.462,23.02581926514399
45,Toyota Corolla Altis G AT,Mumbai,2016,52001,First,14.28,1798.0,138.03,5.0,10.11,0,0,1,1,0,8,1.785,25.794146825396826
46,Hyundai Elantra CRDi,Ahmedabad,2008,58005,Second,14.9,1991.0,112.2,5.0,4.25,1,0,0,0,1,16,0.93125,28.88695219123506
47,Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,First,11.25,2694.0,163.7,7.0,10.95,0,0,1,0,1,12,0.9375,35.141153081510936
48,Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000,First,24.4,1120.0,107.35215130674001,5.0,3.85,1,0,0,0,1,10,2.44,37.23932472691162
49,Mahindra Thar CRDe AC,Jaipur,2012,75800,Second,16.55,2498.0,107.35215130674001,6.0,5.5,1,0,0,0,1,12,1.3791666666666667,37.67395626242545
50,Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648,First,17.11,1968.0,174.33,5.0,21.43,1,0,0,1,0,9,1.901111111111111,6.773200992555831
51,Maruti Swift LDI,Delhi,2014,52000,First,22.9,1248.0,107.35215130674001,5.0,4.25,1,0,0,0,1,10,2.29,25.819265143992055
52,Maruti Swift Ldi BSIV,Kolkata,2014,53000,First,17.8,1248.0,107.35215130674001,5.0,3.3,1,0,0,0,1,10,1.78,26.31578947368421
53,Maruti Swift VDI,Delhi,2013,65650,First,28.4,1248.0,107.35215130674001,5.0,3.85,1,0,0,0,1,11,2.5818181818181816,32.61301539990065
54,Hyundai Grand i10 Sportz,Chennai,2015,54000,Third,18.9,1197.0,107.35215130674001,5.0,3.6,0,0,1,0,1,9,2.0999999999999996,26.799007444168733
55,Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,39000,First,15.04,1598.0,103.2,5.0,3.99,0,0,1,0,1,9,1.671111111111111,19.35483870967742
56,Renault KWID RXT,Kochi,2017,16542,First,25.17,799.0,53.3,5.0,3.3,0,0,1,0,1,7,3.595714285714286,8.201289043133366
57,Hyundai i10 Asta,Kolkata,2010,32000,First,20.36,1197.0,78.9,5.0,2.07,0,0,1,0,1,14,1.4542857142857142,15.92039800995025
58,Nissan X-Trail SLX AT,Hyderabad,2010,121812,First,9.49,1995.0,147.6,5.0,7.75,1,0,0,1,0,14,0.6778571428571428,60.602985074626865
59,Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300,First,18.2,998.0,67.1,5.0,2.25,0,0,1,0,1,14,1.3,19.55223880597015
60,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,First,13.68,2393.0,147.8,8.0,16.5,1,0,0,0,1,7,1.9542857142857142,10.907288051561725
61,Ford Figo Diesel Titanium,Bangalore,2010,72000,First,20.0,1399.0,107.35215130674001,5.0,2.75,1,0,0,0,1,14,1.4285714285714286,35.82089552238806
62,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000,First,11.74,1796.0,107.35215130674001,5.0,26.7,0,0,1,1,0,9,1.3044444444444445,28.78411910669975
63,Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,65000,Second,15.8,2148.0,107.35215130674001,5.0,10.0,1,0,0,0,1,13,1.2153846153846155,32.322227747389356
64,Tata Indica V2 eLS,Chennai,2016,178000,First,25.0,1396.0,107.35215130674001,5.0,2.5,1,0,0,0,1,8,3.125,88.2936507936508
65,Audi A4 2.0 TDI Multitronic,Jaipur,2012,65664,First,16.55,1968.0,107.35215130674001,5.0,13.5,1,0,0,1,0,12,1.3791666666666667,32.636182902584494
66,Honda City ZX CVT,Mumbai,2007,63000,Second,16.4,1497.0,107.35215130674001,5.0,1.85,0,0,1,1,0,17,0.9647058823529411,31.390134529147982
67,Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,First,0.0,1950.0,107.35215130674001,5.0,35.67,1,0,0,1,0,5,0.0,7.612184249628529
68,Maruti Ertiga SHVS VDI,Pune,2016,63000,First,24.52,1248.0,88.5,7.0,8.15,1,0,0,0,1,8,3.065,31.25
69,Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,First,22.1,1396.0,88.7,5.0,10.5,1,0,0,0,1,6,3.6833333333333336,6.442021803766105
70,Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,73000,First,8.5,4806.0,107.35215130674001,5.0,14.5,0,0,1,1,0,16,0.53125,36.354581673306775
71,Mahindra XUV500 W8 4WD,Mumbai,2015,55729,First,15.1,2179.0,107.35215130674001,7.0,9.65,1,0,0,0,1,9,1.6777777777777778,27.657071960297767
72,Hyundai i10 Sportz 1.2 AT,Kochi,2012,45178,First,16.95,1197.0,78.9,5.0,3.48,0,0,1,1,0,12,1.4124999999999999,22.45427435387674
73,Nissan Terrano XV D Pre,Kochi,2015,56066,First,19.64,1461.0,108.5,5.0,6.92,1,0,0,0,1,9,2.1822222222222223,27.824317617866004
74,Honda Brio VX AT,Coimbatore,2016,37300,Second,16.5,1198.0,86.8,5.0,6.46,0,0,1,1,0,8,2.0625,18.501984126984127
75,Audi A6 2.0 TDI Design Edition,Delhi,2014,56000,Second,18.53,1968.0,187.74,5.0,29.5,1,0,0,1,0,10,1.8530000000000002,27.805362462760677
77,Toyota Innova 2.0 G1,Chennai,2006,230000,Third,12.4,1998.0,107.35215130674001,8.0,4.5,0,0,1,0,1,18,0.6888888888888889,114.65603190428713
78,Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,104000,First,12.8,2494.0,107.35215130674001,7.0,11.75,1,0,0,0,1,12,1.0666666666666667,51.68986083499006
80,Maruti Swift VDI,Jaipur,2012,95100,First,22.9,1248.0,107.35215130674001,5.0,3.75,1,0,0,0,1,12,1.9083333333333332,47.26640159045726
81,Tata Zest Revotron 1.2T XE,Pune,2017,70000,First,17.57,1193.0,88.7,5.0,4.5,0,0,1,0,1,7,2.5100000000000002,34.705007436787305
82,Honda Amaze SX i-VTEC,Kochi,2016,54944,First,18.0,1198.0,86.7,5.0,4.82,0,0,1,0,1,8,2.25,27.253968253968253
83,Ford Figo Diesel ZXI,Hyderabad,2012,70337,First,20.0,1399.0,107.35215130674001,5.0,2.8,1,0,0,0,1,12,1.6666666666666667,34.958747514910534
84,Maruti Ritz VDi,Jaipur,2013,99638,First,23.2,1248.0,73.94,5.0,3.11,1,0,0,0,1,11,2.109090909090909,49.49726775956284
85,Honda City i VTEC E,Delhi,2009,52000,First,17.8,1497.0,117.3,5.0,3.25,0,0,1,0,1,15,1.1866666666666668,25.883524141363864
86,BMW 5 Series 2003-2012 525d,Delhi,2011,75000,Second,16.73,1995.0,107.35215130674001,5.0,13.9,1,0,0,1,0,13,1.286923076923077,37.29487817006464
87,Hyundai i10 Sportz 1.2,Pune,2009,95980,First,20.36,1197.0,78.9,5.0,2.25,0,0,1,0,1,15,1.3573333333333333,47.775012444001995
88,Hyundai Grand i10 Sportz,Bangalore,2016,16000,First,18.9,1197.0,107.35215130674001,5.0,5.75,0,0,1,0,1,8,2.3625,7.936507936507937
90,Honda Amaze SX i-VTEC,Mumbai,2016,18949,First,17.8,1198.0,86.7,5.0,5.0,0,0,1,0,1,8,2.225,9.399305555555555
91,Toyota Fortuner 4x2 Manual,Delhi,2014,107000,First,13.0,2982.0,168.5,7.0,16.5,1,0,0,0,1,10,1.3,53.128103277060575
92,Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367,First,17.68,1968.0,174.33,5.0,39.58,1,0,0,1,0,6,2.9466666666666668,23.96778989098117
93,Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,57000,First,22.7,1498.0,89.84,5.0,5.5,1,0,0,0,1,11,2.0636363636363635,28.315946348733235
94,Mahindra XUV500 W8 2WD,Delhi,2014,58000,First,15.1,2179.0,107.35215130674001,7.0,8.1,1,0,0,0,1,10,1.51,28.798411122144984
95,Honda Amaze SX i-DTEC,Kolkata,2015,30000,First,25.8,1498.0,98.6,5.0,3.5,1,0,0,0,1,9,2.8666666666666667,14.88833746898263
96,Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212,First,22.07,1199.0,73.9,5.0,2.79,1,0,0,0,1,11,2.0063636363636363,16.995529061102832
97,Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,70002,First,16.2,1493.0,107.35215130674001,5.0,3.45,1,0,0,0,1,14,1.157142857142857,34.82686567164179
98,Maruti Wagon R VXI BS IV,Bangalore,2016,62000,First,18.9,998.0,67.1,5.0,4.45,0,0,1,0,1,8,2.3625,30.753968253968253
99,Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,62001,First,15.26,1598.0,103.5,5.0,2.65,0,0,1,0,1,14,1.09,30.84626865671642
100,Hyundai i20 1.4 CRDi Sportz,Pune,2011,78958,Second,23.0,1396.0,107.35215130674001,5.0,3.8,1,0,0,0,1,13,1.7692307692307692,39.26305320735952
101,Hyundai i20 Asta 1.2,Mumbai,2014,30180,First,18.5,1197.0,82.85,5.0,4.65,0,0,1,0,1,10,1.85,14.985104270109236
102,Datsun GO Plus T Petrol,Pune,2017,32851,First,19.83,1198.0,107.35215130674001,7.0,3.95,0,0,1,0,1,7,2.8328571428571427,16.287059990084284
103,Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,30000,First,14.94,2967.0,241.4,5.0,9.8,1,0,0,1,0,14,1.0671428571428572,14.925373134328359
104,Hyundai i20 2015-2017 Asta,Pune,2009,66000,Second,17.0,1197.0,107.35215130674001,5.0,2.7,0,0,1,0,1,15,1.1333333333333333,32.85216525634644
105,Maruti Omni 5 Str STD,Coimbatore,2010,93850,First,14.0,796.0,107.35215130674001,5.0,2.41,0,0,1,0,1,14,1.0,46.691542288557216
106,Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,First,17.71,1197.0,78.9,5.0,3.9,0,0,1,0,1,10,1.7710000000000001,26.31578947368421
107,Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,78000,Second,14.74,2993.0,270.9,5.0,24.0,1,0,0,1,0,13,1.133846153846154,38.78667329686723
108,Mahindra XUV500 W8 2WD,Delhi,2012,65000,Second,16.0,2179.0,107.35215130674001,7.0,5.75,1,0,0,0,1,12,1.3333333333333333,32.306163021868784
109,Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,40000,First,22.32,1582.0,126.32,5.0,5.25,1,0,0,1,0,10,2.232,19.860973187686195
110,Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,First,11.36,2755.0,171.5,7.0,19.25,1,0,0,1,0,7,1.6228571428571428,14.873574615765989
111,Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,First,15.1,1196.0,107.35215130674001,5.0,3.91,0,0,1,0,1,7,2.157142857142857,18.866137828458108
112,Tata Nano Twist XT,Bangalore,2014,25500,First,25.4,624.0,37.5,4.0,2.15,0,0,1,0,1,10,2.54,12.66137040714995
113,BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,First,22.69,1995.0,107.35215130674001,5.0,20.75,1,0,0,1,0,9,2.5211111111111113,27.834739454094294
114,Honda Civic 2006-2010 1.8 V MT,Delhi,2010,71088,First,13.5,1799.0,107.35215130674001,5.0,3.35,0,0,1,0,1,14,0.9642857142857143,35.36716417910448
115,Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,55000,First,12.99,2494.0,100.6,7.0,11.11,1,0,0,0,1,10,1.299,27.30883813306852
116,Volvo V40 Cross Country D3,Bangalore,2014,32700,First,23.3,1984.0,107.35215130674001,5.0,20.0,1,0,0,1,0,10,2.33,16.236345580933467
117,Nissan Micra XV CVT,Coimbatore,2016,39882,First,19.15,1198.0,75.94,5.0,6.55,0,0,1,1,0,8,2.39375,19.782738095238095
118,BMW 5 Series 2010-2013 525i,Mumbai,2009,128000,First,10.8,2497.0,107.35215130674001,5.0,7.0,0,0,1,1,0,15,0.7200000000000001,63.71329019412643
119,Maruti Vitara Brezza VDi,Mumbai,2016,55000,First,24.3,1248.0,88.5,5.0,7.5,1,0,0,0,1,8,3.0375,27.28174603174603
121,Mercedes-Benz B Class B200 CDI,Pune,2014,53753,Second,15.0,2143.0,107.3,5.0,16.75,1,0,0,1,0,10,1.5,26.689672293942404
122,Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,First,22.0,1582.0,126.2,5.0,10.95,1,0,0,0,1,6,3.6666666666666665,5.079286422200198
123,Maruti Wagon R LXI BS IV,Pune,2011,43874,First,18.9,998.0,67.1,5.0,2.45,0,0,1,0,1,13,1.4538461538461538,21.817006464445548
124,Tata Nano XTA,Coimbatore,2017,32684,First,21.9,624.0,37.48,4.0,3.23,0,0,1,1,0,7,3.1285714285714286,16.20426375805652
125,Mahindra Scorpio VLX,Kolkata,2014,42000,First,12.05,2179.0,107.35215130674001,8.0,7.75,1,0,0,0,1,10,1.205,20.854021847070506
126,Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,28352,First,11.7,1796.0,107.35215130674001,5.0,9.35,0,0,1,1,0,15,0.7799999999999999,14.112493777999005
128,Honda CR-V 2.4 MT,Bangalore,2007,47700,Second,10.8,2354.0,107.35215130674001,5.0,5.25,0,0,1,0,1,17,0.6352941176470589,23.766816143497756
129,Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,55000,First,21.21,1498.0,103.2,5.0,7.25,1,0,0,1,0,9,2.356666666666667,27.29528535980149
130,Maruti Ciaz VXi Plus,Kochi,2017,44285,First,20.73,1373.0,91.1,5.0,7.47,0,0,1,0,1,7,2.9614285714285713,21.955875061973227
131,Mahindra XUV500 AT W10 FWD,Jaipur,2016,54000,First,16.0,2179.0,107.35215130674001,7.0,13.25,1,0,0,1,0,8,2.0,26.785714285714285
132,Maruti Ritz VXI ABS,Coimbatore,2016,30232,First,21.1,1197.0,85.8,5.0,5.81,0,0,1,0,1,8,2.6375,14.996031746031745
133,Maruti Alto K10 VXI,Hyderabad,2014,88500,First,24.07,998.0,67.1,5.0,2.6,0,0,1,0,1,10,2.407,43.94240317775571
134,Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,First,19.0,2996.0,362.07,2.0,54.0,0,0,1,1,0,7,2.7142857142857144,6.629647992067427
135,Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,First,17.0,1591.0,121.3,5.0,11.5,0,0,1,1,0,5,3.4,6.263001485884101
136,Maruti Alto LXi BSIII,Chennai,2010,94385,Second,19.7,796.0,46.3,5.0,1.6,0,0,1,0,1,14,1.407142857142857,46.95771144278607
137,BMW 1 Series 118d Base,Coimbatore,2015,31821,First,20.58,1995.0,107.35215130674001,5.0,17.22,1,0,0,1,0,9,2.2866666666666666,15.792059553349876
138,Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,12000,First,19.0,1199.0,88.7,5.0,6.0,0,0,1,1,0,9,2.111111111111111,5.955334987593052
139,Honda Civic 2006-2010 1.8 V MT,Delhi,2012,88578,First,13.5,1799.0,107.35215130674001,5.0,3.95,0,0,1,0,1,12,1.125,44.02485089463221
140,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,44965,First,19.27,2143.0,107.35215130674001,5.0,17.95,1,0,0,1,0,10,1.927,22.326216484607745
141,Honda Amaze SX i-DTEC,Kolkata,2014,45044,First,25.8,1498.0,98.6,5.0,3.7,1,0,0,0,1,10,2.58,22.365441906653427
142,Maruti Swift VVT VXI,Kochi,2016,34204,First,22.0,1197.0,81.8,5.0,5.43,0,0,1,0,1,8,2.75,16.966269841269842
144,Toyota Fortuner 3.0 Diesel,Coimbatore,2012,91235,First,11.5,2982.0,107.35215130674001,7.0,13.49,1,0,0,0,1,12,0.9583333333333334,45.34542743538768
145,Chevrolet Beat LT Option,Pune,2014,38800,First,18.6,1199.0,76.8,5.0,2.85,0,0,1,0,1,10,1.86,19.26514399205561
146,Skoda Rapid 1.5 TDI Elegance,Chennai,2013,83000,First,21.14,1498.0,103.52,5.0,4.75,1,0,0,0,1,11,1.9218181818181819,41.231992051664186
147,Maruti Ciaz 1.4 Alpha,Kochi,2018,41283,First,20.73,1373.0,91.1,5.0,9.9,0,0,1,0,1,6,3.455,20.457383548067394
148,Audi RS5 Coupe,Mumbai,2013,23000,First,11.05,2894.0,107.35215130674001,4.0,37.0,0,0,1,1,0,11,1.0045454545454546,11.425732737208147
149,BMW 3 Series Luxury Line,Mumbai,2014,48000,First,21.76,1995.0,107.35215130674001,5.0,26.5,1,0,0,1,0,10,2.176,23.833167825223438
150,Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2015,48214,First,17.11,1968.0,174.33,5.0,23.32,1,0,0,1,0,9,1.901111111111111,23.92754342431762
151,Maruti Swift VDI,Chennai,2016,35000,First,22.9,1248.0,107.35215130674001,5.0,6.25,1,0,0,0,1,8,2.8625,17.36111111111111
152,Mercedes-Benz S Class 2005 2013 S 500,Kolkata,2010,35277,First,7.81,5461.0,362.9,5.0,30.0,0,0,1,1,0,14,0.5578571428571428,17.550746268656717
153,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,2016,54620,First,21.66,1498.0,103.52,5.0,9.86,1,0,0,1,0,8,2.7075,27.09325396825397
154,Skoda Superb Elegance 2.0 TDI CR AT,Pune,2012,136997,First,17.2,1968.0,138.1,5.0,8.5,1,0,0,1,0,12,1.4333333333333333,68.0899602385686
155,Hyundai EON Magna Plus,Kochi,2019,14322,First,21.1,814.0,55.2,5.0,4.23,0,0,1,0,1,5,4.220000000000001,7.093610698365527
156,Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2012,65634,First,22.07,1199.0,73.9,5.0,3.5,1,0,0,0,1,12,1.8391666666666666,32.62127236580517
157,Datsun GO NXT,Kolkata,2016,6000,First,20.63,1198.0,67.06,5.0,2.5,0,0,1,0,1,8,2.57875,2.9761904761904763
158,Honda Brio S MT,Kolkata,2013,33280,First,19.4,1198.0,86.8,5.0,2.39,0,0,1,0,1,11,1.7636363636363634,16.532538499751613
159,Mercedes-Benz B Class B180,Delhi,2013,29000,First,14.8,1595.0,120.7,5.0,11.25,0,0,1,1,0,11,1.3454545454545455,14.40635866865375
160,Honda City i DTEC V,Kochi,2015,42831,First,26.0,1498.0,98.6,5.0,7.11,1,0,0,0,1,9,2.888888888888889,21.2560794044665
161,Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,2016,90000,First,12.99,2494.0,100.6,7.0,10.9,1,0,0,0,1,8,1.62375,44.642857142857146
162,Maruti Swift VXI Optional,Ahmedabad,2017,24005,First,20.4,1197.0,81.8,5.0,6.2,0,0,1,0,1,7,2.914285714285714,11.90133862171542
163,Mahindra XUV500 W8 2WD,Mumbai,2012,32792,First,15.1,2179.0,107.35215130674001,7.0,7.9,1,0,0,0,1,12,1.2583333333333333,16.29821073558648
164,Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,2014,147898,First,22.7,1498.0,89.84,5.0,4.42,1,0,0,0,1,10,2.27,73.43495531281033
165,Toyota Fortuner 4x2 Manual,Mumbai,2012,131765,First,13.0,2982.0,168.5,7.0,13.5,1,0,0,0,1,12,1.0833333333333333,65.48956262425448
166,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,2013,65000,First,21.5,1498.0,108.5,5.0,6.25,1,0,0,1,0,11,1.9545454545454546,32.290114257327375
167,Ford Figo Diesel Titanium,Jaipur,2010,66123,Second,20.0,1399.0,107.35215130674001,5.0,2.1,1,0,0,0,1,14,1.4285714285714286,32.897014925373135
168,BMW X5 xDrive 30d,Mumbai,2015,41000,First,15.3,2993.0,107.35215130674001,5.0,45.0,1,0,0,1,0,9,1.7000000000000002,20.34739454094293
169,Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,2017,23550,First,19.27,2143.0,167.62,5.0,33.66,1,0,0,1,0,7,2.7528571428571427,11.675756073376302
170,Honda Brio V MT,Bangalore,2012,45000,Second,19.4,1198.0,86.8,5.0,3.65,0,0,1,0,1,12,1.6166666666666665,22.365805168986082
171,Hyundai i10 Magna 1.2,Delhi,2013,60000,First,20.36,1197.0,78.9,5.0,2.75,0,0,1,0,1,11,1.8509090909090908,29.806259314456035
